date,clones,unique_clones,views,unique_views,clone_view_ratio,top_referrer
2026-03-13,1,1,0,0,inf,github.com
2026-03-14,106,24,0,0,inf,github.com
2026-03-15,32,11,0,0,inf,github.com
2026-03-16,62,18,0,0,inf,github.com
2026-03-17,0,0,0,0,0,github.com
2026-03-18,2,2,0,0,inf,github.com
2026-03-19,9,6,0,0,inf,github.com
2026-03-20,21,6,0,0,inf,github.com
2026-03-21,0,0,9,1,0.0,github.com
2026-03-22,1,1,0,0,inf,github.com
2026-03-23,0,0,0,0,0,github.com
2026-03-24,1,1,1,1,1.0,github.com
2026-03-25,336,79,20,1,16.8,github.com
2026-03-26,0,0,0,0,0,github.com
2026-03-27,85,39,64,1,1.3,github.com
2026-03-28,23,14,9,1,2.6,github.com
2026-03-29,28,13,9,1,3.1,github.com
2026-03-30,31,6,13,1,2.4,github.com
TOTAL,738,221,125,7,5.9,-
AVG/DAY,41.0,-,6.9,-,-,(18 days)
